id	popularity	frequency_short	units_short	seasonal_adjustment_short	name	title
111833	1	M		NSA	FORLTEQTYNET34401	Foreign Net Transactions of U.S. Equity Securities: Total Caribbean
111811	1	M		NSA	FORLTEQTYNET19992	Foreign Net Transactions of U.S. Equity Securities: Total Europe
111892	5	M		NSA	FORLTEQTYNET72907	Foreign Net Transactions of U.S. Equity Securities: Total International Orgs.
111894	0	M		NSA	FORLTEQTYNET79995	Foreign Net Transactions of U.S. Equity Securities: Total IROs
111849	0	M		NSA	FORLTEQTYNET39942	Foreign Net Transactions of U.S. Equity Securities: Total Latin America
111850	1	M		NSA	FORLTEQTYNET39993	Foreign Net Transactions of U.S. Equity Securities: Total Latin America and Caribbean
111893	1	M		NSA	FORLTEQTYNET76929	Foreign Net Transactions of U.S. Equity Securities: Total Regional Orgs.
111043	0	M		NSA	FORLTAGCYNET59994	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Africa
111032	1	M		NSA	FORLTAGCYNET49999	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Asia
110991	0	M		NSA	FORLTAGCYNET34401	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Caribbean
110969	0	M		NSA	FORLTAGCYNET19992	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Europe
111050	0	M		NSA	FORLTAGCYNET72907	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total International Orgs.
111052	0	M		NSA	FORLTAGCYNET79995	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total IROs
111007	1	M		NSA	FORLTAGCYNET39942	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Latin America
111008	1	M		NSA	FORLTAGCYNET39993	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Latin America and Caribbean
111051	0	M		NSA	FORLTAGCYNET76929	Foreign Net Transactions of U.S. Long-Term Agency Bonds: Total Regional Orgs.
113330	1	M		NSA	FORTREASNET59994	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total Africa
113323	0	M		NSA	FORTREASNET49999	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total Asia
113295	0	M		NSA	FORTREASNET34401	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total Caribbean
113276	0	M		NSA	FORTREASNET19992	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total Europe
113335	0	M		NSA	FORTREASNET72907	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total International Orgs.
113337	3	M		NSA	FORTREASNET79995	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total IROs
113303	0	M		NSA	FORTREASNET39942	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total Latin America
113336	1	M		NSA	FORTREASNET76929	Foreign Net Transactions of U.S. Long-Term and Short-Term Treasury Securities: Total Regional Orgs.
111446	0	M		NSA	FORLTCORPNET59994	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Africa
111435	1	M		NSA	FORLTCORPNET49999	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Asia
111394	0	M		NSA	FORLTCORPNET34401	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Caribbean
